,pred_kld_2,kld_2,ratio_num_2,cid,pred_kld_3,kld_3,ratio_num_3,pred_kld,kld,ratio_num
0,0.30152658838752283,0.23713583852959044,65,1,0.4774599839600197,0.19484229027031738,21,0.4774599839600197,0.19484229027031738,21
1,0.40126535239077604,0.30989892068814995,59,2,0.3617366166707545,0.2609305233721697,16,0.3617366166707545,0.2609305233721697,16
2,0.24601103146996767,0.22068818145930433,76,3,0.30417986477256664,0.17396597529287103,24,0.30417986477256664,0.17396597529287103,24
3,0.5037752837288723,0.4151217754879671,74,4,0.3173102788062324,0.08518981887714448,52,0.3173102788062324,0.08518981887714448,52
4,0.19375225811017793,0.18365049016846496,122,5,0.4640128678925588,0.05133985072833985,60,0.4640128678925588,0.05133985072833985,60
5,0.37108349723932427,0.37108349723932427,100,6,0.872617972560591,0.17815912352801422,83,0.872617972560591,0.17815912352801422,83
6,0.410966427337559,0.3349107110845545,58,7,0.534932624949207,0.5124921179444291,27,0.534932624949207,0.5124921179444291,27
7,0.22902786040691964,0.22899040349088431,101,8,0.22601134032302808,0.05697771440610348,51,0.22601134032302808,0.05697771440610348,51
8,0.7153759271940834,0.40393978972151967,66,9,0.25097557323351466,0.06525225525631306,49,0.25097557323351466,0.06525225525631306,49
9,0.10367811704160791,0.09895818625628713,123,10,0.16508077706676283,0.1299447347716752,31,0.16508077706676283,0.1299447347716752,31
10,0.5995919036365207,0.5579696215162306,166,11,0.32494661606498226,0.084019013518887,89,0.32494661606498226,0.084019013518887,89
11,0.24091643414952535,0.23683610985161455,99,12,1.1479389424067028,0.028841091967121507,100,1.1479389424067028,0.028841091967121507,100
12,0.5726998906452636,0.4146387819345725,63,13,0.22190181350092653,0.06423067832166524,77,0.22190181350092653,0.06423067832166524,77
13,1.447668491745539,1.3363734721103933,71,14,0.6524802628458666,0.3537615723171544,51,0.6524802628458666,0.3537615723171544,51
14,0.12214601013578472,0.11718601573378551,89,15,0.3799779046726928,0.03674632422046041,47,0.3799779046726928,0.03674632422046041,47
