,level_0,index,count,count_CCR,count_cys,lumi_mean,right,left,slices,st,en
77,77,101,282613,61172.0,14593.0,112.20652623906193,1,1,91,0,81
78,78,102,373497,59772.0,63.0,175.6711165016051,1,1,127,0,117
79,79,103,431205,6215.0,540.0,148.13622522929933,1,1,70,0,60
80,80,104,426320,54956.0,118.0,136.0426956276975,1,0,64,0,54
81,81,105,383850,46398.0,0.0,146.29994008076068,0,1,64,0,54
82,82,107,326113,8082.0,0.0,188.36581185049354,0,1,61,0,51
83,83,109,247334,29038.0,0.0,87.68760461562097,1,0,69,0,59
84,84,112,457739,44579.0,0.0,127.50552825955404,1,0,71,0,61
85,85,113,411489,5239.0,33614.0,149.16800206080842,1,0,74,0,64
86,86,115,1082267,656521.0,0.0,123.579677658101,0,1,83,0,73
87,87,117,1340236,938840.0,1186.0,72.03814999746314,1,1,81,0,71
88,88,118,601638,10632.0,220840.0,97.67982075600278,1,0,91,0,81
89,89,119,417529,96392.0,0.0,102.18732112020962,1,0,74,0,64
90,90,121,590766,159229.0,0.0,117.01541388637804,0,1,84,0,74
91,91,122,679953,7791.0,214.0,133.12370413837428,1,0,64,0,54
92,92,123,365289,14879.0,0.0,150.02707992849497,0,1,67,0,57
93,93,124,257499,699.0,0.0,158.45036291403073,1,0,63,0,53
94,94,125,391362,7179.0,9367.0,129.4759659854559,0,1,76,0,66
95,95,126,581488,6639.0,0.0,129.0521455300883,1,0,63,0,58
96,96,127,341765,637.0,0.0,114.90911006100686,0,1,76,0,70
97,97,130,481039,187320.0,2222.0,123.98667259827164,0,1,60,0,50
98,98,134,441912,46960.0,0.0,146.64244691250747,1,0,79,0,69
99,99,135,353302,5262.0,6704.0,138.6894951061698,1,0,69,0,59
100,100,136,1855627,1410687.0,175.0,66.74006252334117,1,0,107,0,97
101,101,138,315781,114739.0,225.0,130.388573093378,1,0,69,0,59
102,102,140,609010,10260.0,0.0,144.73281719511994,1,0,60,1,54
103,103,142,393284,34120.0,693.0,160.97231517173338,0,1,71,0,61
104,104,145,563086,304704.0,1992.0,130.98876192979404,0,1,86,0,76
105,105,146,609813,16116.0,261.0,84.89463983221086,0,1,60,0,50
106,106,147,316556,53594.0,163.0,135.74745068802991,1,0,78,0,68
107,107,149,379434,8918.0,1270.0,139.02258890874302,0,1,81,0,71
108,108,150,690376,4979.0,0.0,148.48994171292162,0,1,69,0,64
109,109,151,431353,35706.0,55320.0,80.82743831618188,1,0,62,0,52
110,110,152,350154,128052.0,228.0,67.6530783598074,0,1,65,0,55
111,111,154,245366,1762.0,1077.0,147.8573885542414,1,0,60,1,48
112,112,157,947520,10720.0,141995.0,133.89327402060115,0,1,73,0,63
113,113,159,222267,0.0,78706.0,27.59788002717453,0,0,100,1,49
