,pred_kld_2,kld_2,ratio_num_2,cid,pred_kld_3,kld_3,ratio_num_3
0,0.04080873633258534,0.04022623449679044,108,1,0.0516992148110596,0.030518478722452724,61
1,0.03633832965516602,0.03609250256356387,93,2,0.049649285040847826,0.04940982613604572,9
2,0.030619102753632443,0.03049733005109463,97,3,0.04944708628853291,0.030477620741370854,46
3,0.028031826631168717,0.023856317489315965,84,4,0.03218436156645338,0.019943444506468094,35
4,0.07709557729647608,0.07276654793480215,78,5,0.08225694444487455,0.07984135654851435,18
5,0.009344525161497854,0.009297842896119568,103,6,0.01916129606809417,0.014951927000063751,30
6,0.0173138895348929,0.014717790020822972,85,7,0.027671448618924604,0.02068673598790297,30
7,0.09149166783008311,0.08642708822538596,67,8,0.12147356582141772,0.12099142049562087,8
8,0.04974978643764888,0.045790564340250466,85,9,0.06725859678984179,0.041813303804278085,42
9,0.07893298670348675,0.07492714761950378,76,10,0.10324580213702256,0.10104978097641155,16
10,0.08253971819991035,0.08212721372011811,105,11,0.14647604111122048,0.08556257660575377,70
11,0.017406474514209614,0.01551889606437856,120,12,0.07036208824742948,0.03150233205676023,85
12,0.02668396251877176,0.0245451197942576,88,13,0.03608438244410668,0.026744481531452202,33
13,0.10523062541371248,0.06400817733605334,43,14,0.08042810130115641,0.07994211065394546,6
14,0.07811513636329202,0.07801011595220789,97,15,0.10013666093607393,0.08995882916805578,38
15,0.046285388878177625,0.045507766025217236,109,17,0.10156541722635301,0.06187811140170911,70
16,0.024562333086735392,0.023359265941759924,93,18,0.08317459664796917,0.034286769756377664,60
17,0.05096574881972049,0.05063885201368193,94,19,0.06390405892719138,0.05603649370548994,33
18,0.04687032998742471,0.04471661744482053,90,21,0.06621946802100503,0.04935911905710595,42
19,0.04957070424800664,0.04232942016937709,74,22,0.04912464940105614,0.04673432849910842,19
20,0.06573330761686501,0.06412758234371863,110,23,0.13598481452408126,0.08987109993907004,71
21,0.054263085390546154,0.05347641008330309,91,24,0.06374313644353785,0.05692535448898052,31
22,0.06505519969828691,0.04075543699941381,45,25,0.059874754513233513,0.05961667329818327,-6
23,0.10475718192839567,0.1047571819283957,100,26,0.16623187837918899,0.10731470781814464,70
24,0.03093455379735903,0.02186748325396131,73,28,0.020765091183779054,0.01826831751710912,18
25,0.03636550227481117,0.03630125660781546,98,29,0.07297410278648969,0.03781341290333307,60
26,0.04254234002054383,0.04223846629555478,94,30,0.052674130489855545,0.044440553230461644,34
27,0.05454190250934596,0.04838212709044967,73,31,0.04098467701177577,0.03732398338360865,18
28,0.01500329145683553,0.014803687303923587,96,32,0.030518515098703694,0.020810702070761168,38
29,0.13606150521444538,0.11845254083176374,54,33,0.1647893052627633,0.1635651086538385,13
30,0.045720686212553444,0.04375418146593915,111,34,0.10785151903147293,0.05148467379908557,71
31,0.06394529485106992,0.05379833830059927,75,35,0.06064852122049082,0.05249280751139876,28
32,0.018214128009721945,0.017164035693576156,116,36,0.03398879107311509,0.02243930645470663,47
33,0.04269743110314218,0.03830962728930707,88,37,0.07545242142306494,0.04054059290775492,50
34,0.048913736003372045,0.02775103114068786,55,38,0.048175192090635574,0.04805512037904561,4
35,0.18809721587416314,0.18681740798614577,107,39,0.2476095077816704,0.17138297681956047,83
36,0.4524045653078868,0.44082509740589126,128,40,0.5424092624301986,0.44552405091018954,97
37,0.036333200969633835,0.016499999036553546,41,41,0.04487919167015676,0.04463463280884372,-5
38,0.01778302458373103,0.017716326456254435,103,44,0.033673314038700324,0.024138334658334284,39
39,0.04609612697451341,0.04301293058577823,76,45,0.05598067182452883,0.05456275699660229,13
40,0.011481905875384514,0.011445629691145381,102,46,0.029803471765279844,0.018011664422715318,42
41,0.06247182467025158,0.06123397042824305,119,47,0.05338772998974793,0.04206647689052781,47
42,0.047516409852786934,0.04410401355690694,75,51,0.05473916416000781,0.054165932396550306,10
43,0.04023142819885775,0.038223716002144935,88,53,0.0606137889016818,0.04240190478818154,43
44,0.0742091890152571,0.07402961003418307,109,55,0.08531272667575687,0.08458233814090074,15
45,0.13192722178008476,0.1057738586803801,154,57,0.2003788313358313,0.11616909572120325,114
46,0.08993876409219052,0.08877756940340016,121,58,0.09216885754212566,0.08162216449445656,55
47,0.05948124298016092,0.058478509475155926,111,60,0.06901328112652116,0.04712543125491807,56
48,0.032180091620917214,0.02457914008544372,62,61,0.04268138541582865,0.04252932224514178,5
49,0.1028484626984176,0.10241168696964717,87,62,0.12229074539922592,0.12221863963383721,4
50,0.0302243349027247,0.028439697873084008,89,63,0.03540399471856687,0.023734506735100747,35
51,0.2419993950399348,0.2200746546374745,199,64,0.23105948074381077,0.1460286744747149,187
52,0.2033201216114202,0.19370397366831052,118,65,0.32571642393897005,0.21341905402881656,95
53,0.12170940865164467,0.12117668216822101,107,66,0.12003302164972189,0.10814468899010658,47
54,0.03755835337084734,0.032360704437479376,57,67,0.044090645015362154,0.04065686830674016,-30
55,0.23900414569734577,0.23894468670535446,101,68,0.3300118147096346,0.24621155611559453,77
56,0.24147027402118,0.21476572700298951,187,69,0.27662230315353037,0.2170156678936121,126
57,0.30556263700755687,0.291913574439495,131,71,0.3785134818391216,0.2943266624778356,101
58,0.03488685750267591,0.034015648263501536,88,72,0.045004710977471454,0.04202317749805286,24
59,0.01891007721883941,0.01814777959167726,110,73,0.033649445903087105,0.01679568844407149,49
60,0.049662517775063975,0.046397865445619205,82,74,0.0684257633987004,0.059082300970204935,33
61,0.039759843349156485,0.03691048356188086,76,76,0.06155226898024137,0.06032429312709625,15
62,0.09511616032387078,0.09078163529171458,142,77,0.06338215686150828,0.04442048725517963,77
63,0.03643067481572341,0.03587673839939782,88,78,0.047444287101697694,0.047268824730098746,7
64,0.015288855746290235,0.013996146578490024,116,79,0.03193037346838958,0.018943927502510022,50
65,0.06514856282551507,0.04677815902479476,37,82,0.09072065756401801,0.0904856161967042,-6
66,0.23126931015591443,0.19979885975516493,166,83,0.26936033779612667,0.19069369131398495,123
67,0.06533543606885439,0.06130812322917713,70,86,0.0680774675496584,0.029714684223579563,60
68,0.5282072418559953,0.521889257510048,123,88,0.5704654604831917,0.515345091570262,94
69,0.057667890701695076,0.05547866256543536,83,90,0.06477431448219986,0.060729548371656054,23
70,0.046555264889390977,0.04635618522023088,94,93,0.048660841564291304,0.03684120306707582,49
71,0.014733412318507982,0.014466775174817124,105,94,0.02702793701934826,0.01015435206879163,51
72,0.20898243265783095,0.20586102953171279,114,95,0.2694298931201984,0.19942234573308207,81
73,0.020301483945343295,0.017875515712117825,80,96,0.02731503400883812,0.02640183508046227,12
74,0.05859004723170945,0.05851674490794881,97,97,0.08206316848068698,0.07731975476528562,30
75,0.10883182985293977,0.09676642845120004,129,98,0.15628163757459282,0.08400422195372602,89
76,0.02611594186125893,0.026105172718245938,97,101,0.03582199556498092,0.03520775850023607,16
77,0.044570569807333676,0.04455430508618274,97,102,0.06909118853331667,0.06647866792549882,25
78,0.022738361087711767,0.022479056336498857,112,103,0.0170639468318165,0.015293413027443761,27
