index,count,count_CCR,count_cys,shape_kid,shape_CCR,shape_cys,lumi_mean,lumi_std,lumi_max,lumi_min,lumi_mean_SE2_CCR,lumi_std_SE2_CCR,lumi_max_SE2_CCR,lumi_min_SE2_CCR,lumi_mean_SE2_cys,lumi_std_SE2_cys,lumi_max_SE2_cys,lumi_min_SE2_cys,lumi_mean_SE3_kid,lumi_std_SE3_kid,lumi_max_SE3_kid,lumi_min_SE3_kid,lumi_mean_SE3_CCR,lumi_std_SE3_CCR,lumi_max_SE3_CCR,lumi_min_SE3_CCR,lumi_mean_SE3_cys,lumi_std_SE3_cys,lumi_max_SE3_cys,lumi_min_SE3_cys
1,369526,,4787.0,72,0,36,166.59816088719063,97.78646380315632,381,-258,,,,,82.93377898475036,80.77560880645021,306.0,-61.0,134.41641,69.96701,243.51416,-124.34033000000001,,,,,87.34561,68.15233,212.21985,-55.954530000000005
2,336744,8872.0,4181.0,58,12,21,187.8554718124154,105.85232630955693,407,-431,193.33701532912534,52.3700615411681,357.0,-36.0,90.71681415929206,114.4710710011083,341.0,-321.0,145.61479,65.49413,262.03612999999996,-165.24071999999998,98.88103000000001,39.603252000000005,180.76941000000002,-80.496826,74.19063,81.933624,216.40295,-246.5896
3,297822,1092.0,,56,7,0,150.4933785952683,94.2481057437018,365,-145,207.46153846153842,76.55932953136721,322.0,-12.0,,,,,139.66228,71.14973,252.43835,-115.60242,139.3305,27.51215,192.0116,9.872314,,,,
4,308553,31025.0,3197.0,52,31,21,98.561760864422,64.8420747782354,404,-127,97.17608380338436,50.73501940008718,300.0,-93.0,38.088207694713795,74.52365490830068,198.0,-112.0,132.55695,67.019875,239.7992,-123.067444,92.61523000000001,41.627827,200.98998999999998,-112.8891,75.31113,82.33803,208.70215,-95.21423
5,395548,1847.0,955.0,57,11,25,112.89323419660823,81.39460025961628,421,-144,171.41364374661615,46.670694766210566,268.0,-21.0,72.7256544502618,78.99092744952482,229.0,-136.0,122.77741999999999,68.578224,238.73865,-127.56206999999999,126.77891499999998,34.245384,201.40198,-34.930786,78.132675,68.81515999999999,205.3949,-107.88396999999999
6,735948,335177.0,58.0,69,48,3,100.08308739204399,61.36488893459527,536,-288,82.20433382958855,32.918208674664946,325.0,-95.0,95.29310344827586,61.071469895493706,182.0,10.0,94.871765,52.003006,316.70007000000004,-216.04693999999998,68.68159,20.606043,204.98608000000002,-71.25647,61.427803000000004,35.691555,103.87988,-2.7610474
7,529050,,928.0,60,0,5,168.71991872223796,127.70093602000208,1047,-143,,,,,97.44288793103449,114.01425809325956,367.0,-97.0,149.13974,95.916534,1015.57715,-126.36901999999999,,,,,80.16525,78.51746,252.43298,-62.021972999999996
8,370647,22696.0,,61,20,0,133.06138994784794,80.72121952086769,342,-175,113.71928974268593,49.8909705666756,291.0,-61.0,,,,,125.99928,63.85985,268.41943,-139.33373999999998,93.31152,33.35109,190.90344,-67.90961,,,,
9,424470,1803.0,8347.0,56,9,22,87.58986265224868,60.00216194695764,501,-134,57.16472545757072,35.107315680292444,501.0,-12.0,37.12890858991254,28.50253161837863,163.0,-121.0,139.6473,67.502,335.51746,-112.31433,83.69062,27.75667,274.98267000000004,13.241333,46.34596,34.021865999999996,194.82983000000002,-87.372314
10,523632,8602.0,73798.0,61,18,55,113.62973042136463,92.34450741698835,426,-169,192.810857940014,67.30341206261029,346.0,-33.0,44.96512100598933,53.53344747346141,324.0,-152.0,117.36312,84.73340999999999,269.48400000000004,-130.31006000000002,166.32803,39.576168,263.0287,-35.23407,47.301975,52.59076999999999,251.94872999999998,-132.16248000000002
