,index,count,count_CCR,count_cys,lumi_mean,right,left,slices,spacing_xy,spacing_z,up_kid_slice,down_kid_slice,st,en,origin_0,origin_1,origin_2
53,53,406813,24064.0,24628.0,105.880598702598,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
54,54,550214,109083.0,41464.0,97.05710868861937,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
55,55,464738,27584.0,10813.0,100.82113147622962,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
56,56,438974,1964.0,5105.0,157.9452177122107,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
57,57,382154,4125.0,35.0,179.08617468350457,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
58,58,557505,94855.0,0.0,85.38751580703313,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
59,59,305151,10812.0,0.0,112.41761947363764,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
60,60,684739,248935.0,70128.0,112.32105955699907,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
61,61,169501,8165.0,19887.0,33.79919882478569,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
62,62,562596,271823.0,110.0,83.36897525044614,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
63,63,537553,5575.0,0.0,93.15823369974682,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
64,64,510413,133354.0,746.0,80.1644609365357,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
65,65,504777,176521.0,5007.0,105.56787056462557,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
66,66,321920,49332.0,3252.0,141.30510064612326,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67,67,535339,43839.0,0.0,132.13282051186258,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
68,68,637494,195566.0,0.0,77.87149839841629,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
69,69,367663,31099.0,0.0,143.24844762731087,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70,70,346595,6026.0,0.0,141.83181523103337,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
71,71,337724,17292.0,343.0,158.93853856995653,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
72,72,442838,15971.0,2224.0,98.78718854298864,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
73,73,413974,5118.0,50.0,148.9175189746216,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
74,74,180731,517.0,0.0,133.31009622034958,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
75,75,357133,7281.0,255.0,171.79846723769575,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
76,76,398523,89820.0,45946.0,94.03485118801173,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
77,77,282613,61172.0,14593.0,112.20652623906193,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
78,78,373497,59772.0,63.0,175.6711165016051,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
79,79,431205,6215.0,540.0,148.13622522929933,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
80,80,426320,54956.0,118.0,136.0426956276975,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
81,81,383850,46398.0,0.0,146.29994008076068,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
82,82,326113,8082.0,0.0,188.36581185049354,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
